ITEM_CODE,SALE_YMD,CENTER_CODE,SALE_QTY,SALE_AMT_VAT,SOURCE
105400,20240202,20006,25,61179,A3_STORE_SALE(202401_202402_LR11).csv
105400,20240202,20007,31,76510,A3_STORE_SALE(202401_202402_LR11).csv
105400,20240202,20010,21,51998,A3_STORE_SALE(202401_202402_LR11).csv
105400,20240202,20017,14,34512,A3_STORE_SALE(202401_202402_LR11).csv
105400,20240202,20033,6,15000,A3_STORE_SALE(202401_202402_LR11).csv
105400,20240202,20034,28,69648,A3_STORE_SALE(202401_202402_LR11).csv
105400,20240202,20049,1,2500,A3_STORE_SALE(202401_202402_LR11).csv
105400,20240202,20050,11,26735,A3_STORE_SALE(202401_202402_LR11).csv
105400,20240202,20065,15,36663,A3_STORE_SALE(202401_202402_LR11).csv
105400,20240202,20075,28,68923,A3_STORE_SALE(202401_202402_LR11).csv
105400,20240202,20079,22,54352,A3_STORE_SALE(202401_202402_LR11).csv
105400,20240202,20080,29,70846,A3_STORE_SALE(202401_202402_LR11).csv
105400,20240202,20081,12,29126,A3_STORE_SALE(202401_202402_LR11).csv
105400,20240202,20083,9,22500,A3_STORE_SALE(202401_202402_LR11).csv
105400,20240202,20084,12,30000,A3_STORE_SALE(202401_202402_LR11).csv
105400,20240202,20085,17,41992,A3_STORE_SALE(202401_202402_LR11).csv
105400,20240203,20006,34,82750,A3_STORE_SALE(202401_202402_LR11).csv
105400,20240203,20007,41,100520,A3_STORE_SALE(202401_202402_LR11).csv
105400,20240203,20010,21,51780,A3_STORE_SALE(202401_202402_LR11).csv
105400,20240203,20017,17,41780,A3_STORE_SALE(202401_202402_LR11).csv
105400,20240203,20033,8,20000,A3_STORE_SALE(202401_202402_LR11).csv
105400,20240203,20034,35,86522,A3_STORE_SALE(202401_202402_LR11).csv
105400,20240203,20049,0,0,A3_STORE_SALE(202401_202402_LR11).csv
105400,20240203,20050,14,34274,A3_STORE_SALE(202401_202402_LR11).csv
105400,20240203,20065,35,86995,A3_STORE_SALE(202401_202402_LR11).csv
105400,20240203,20075,30,74516,A3_STORE_SALE(202401_202402_LR11).csv
105400,20240203,20079,20,49250,A3_STORE_SALE(202401_202402_LR11).csv
105400,20240203,20080,27,63968,A3_STORE_SALE(202401_202402_LR11).csv
105400,20240203,20081,30,74745,A3_STORE_SALE(202401_202402_LR11).csv
105400,20240203,20083,12,30000,A3_STORE_SALE(202401_202402_LR11).csv
105400,20240203,20084,21,52428,A3_STORE_SALE(202401_202402_LR11).csv
105400,20240203,20085,22,53578,A3_STORE_SALE(202401_202402_LR11).csv
105400,20240203,20091,1,2374,A3_STORE_SALE(202401_202402_LR11).csv
105403,20240202,20006,57,67920,A3_STORE_SALE(202401_202402_LR11).csv
105403,20240202,20007,54,64319,A3_STORE_SALE(202401_202402_LR11).csv
105403,20240202,20010,62,74071,A3_STORE_SALE(202401_202402_LR11).csv
105403,20240202,20017,38,45486,A3_STORE_SALE(202401_202402_LR11).csv
105403,20240202,20033,13,15600,A3_STORE_SALE(202401_202402_LR11).csv
105403,20240202,20034,55,66000,A3_STORE_SALE(202401_202402_LR11).csv
105403,20240202,20049,2,2400,A3_STORE_SALE(202401_202402_LR11).csv
105403,20240202,20050,48,57200,A3_STORE_SALE(202401_202402_LR11).csv
105403,20240202,20065,23,27167,A3_STORE_SALE(202401_202402_LR11).csv
105403,20240202,20075,41,49100,A3_STORE_SALE(202401_202402_LR11).csv
105403,20240202,20079,36,42855,A3_STORE_SALE(202401_202402_LR11).csv
105403,20240202,20080,62,74040,A3_STORE_SALE(202401_202402_LR11).csv
105403,20240202,20081,48,57243,A3_STORE_SALE(202401_202402_LR11).csv
105403,20240202,20083,43,51312,A3_STORE_SALE(202401_202402_LR11).csv
105403,20240202,20084,44,52320,A3_STORE_SALE(202401_202402_LR11).csv
105403,20240202,20085,73,87292,A3_STORE_SALE(202401_202402_LR11).csv
105403,20240202,20091,0,0,A3_STORE_SALE(202401_202402_LR11).csv
105403,20240203,20006,64,76588,A3_STORE_SALE(202401_202402_LR11).csv
105403,20240203,20007,50,59896,A3_STORE_SALE(202401_202402_LR11).csv
105403,20240203,20010,57,68229,A3_STORE_SALE(202401_202402_LR11).csv
105403,20240203,20017,53,63063,A3_STORE_SALE(202401_202402_LR11).csv
105403,20240203,20033,12,14274,A3_STORE_SALE(202401_202402_LR11).csv
105403,20240203,20034,67,80043,A3_STORE_SALE(202401_202402_LR11).csv
105403,20240203,20049,3,3600,A3_STORE_SALE(202401_202402_LR11).csv
105403,20240203,20050,33,39600,A3_STORE_SALE(202401_202402_LR11).csv
105403,20240203,20065,31,37200,A3_STORE_SALE(202401_202402_LR11).csv
105403,20240203,20075,62,74300,A3_STORE_SALE(202401_202402_LR11).csv
105403,20240203,20079,43,51600,A3_STORE_SALE(202401_202402_LR11).csv
105403,20240203,20080,79,94338,A3_STORE_SALE(202401_202402_LR11).csv
105403,20240203,20081,53,63120,A3_STORE_SALE(202401_202402_LR11).csv
105403,20240203,20083,34,40800,A3_STORE_SALE(202401_202402_LR11).csv
105403,20240203,20084,44,52695,A3_STORE_SALE(202401_202402_LR11).csv
105403,20240203,20085,69,81766,A3_STORE_SALE(202401_202402_LR11).csv
105403,20240203,20091,1,1200,A3_STORE_SALE(202401_202402_LR11).csv
105418,20240202,20006,49,135796,A3_STORE_SALE(202401_202402_LR11).csv
105418,20240202,20007,10,26995,A3_STORE_SALE(202401_202402_LR11).csv
105418,20240202,20010,35,95627,A3_STORE_SALE(202401_202402_LR11).csv
105418,20240202,20017,14,38482,A3_STORE_SALE(202401_202402_LR11).csv
105418,20240202,20033,5,14000,A3_STORE_SALE(202401_202402_LR11).csv
105418,20240202,20034,15,41363,A3_STORE_SALE(202401_202402_LR11).csv
105418,20240202,20049,1,2800,A3_STORE_SALE(202401_202402_LR11).csv
105418,20240202,20050,14,39200,A3_STORE_SALE(202401_202402_LR11).csv
105418,20240202,20065,4,11040,A3_STORE_SALE(202401_202402_LR11).csv
105418,20240202,20075,18,49400,A3_STORE_SALE(202401_202402_LR11).csv
105418,20240202,20079,9,23784,A3_STORE_SALE(202401_202402_LR11).csv
105418,20240202,20080,34,94641,A3_STORE_SALE(202401_202402_LR11).csv
105418,20240202,20081,10,27500,A3_STORE_SALE(202401_202402_LR11).csv
105418,20240202,20083,1,2800,A3_STORE_SALE(202401_202402_LR11).csv
105418,20240202,20084,4,11200,A3_STORE_SALE(202401_202402_LR11).csv
105418,20240202,20085,30,81098,A3_STORE_SALE(202401_202402_LR11).csv
105418,20240202,20091,1,2800,A3_STORE_SALE(202401_202402_LR11).csv
105418,20240203,20006,38,103816,A3_STORE_SALE(202401_202402_LR11).csv
105418,20240203,20007,15,41335,A3_STORE_SALE(202401_202402_LR11).csv
105418,20240203,20010,25,68981,A3_STORE_SALE(202401_202402_LR11).csv
105418,20240203,20017,11,30800,A3_STORE_SALE(202401_202402_LR11).csv
105418,20240203,20033,7,19600,A3_STORE_SALE(202401_202402_LR11).csv
105418,20240203,20034,21,58800,A3_STORE_SALE(202401_202402_LR11).csv
105418,20240203,20049,2,5600,A3_STORE_SALE(202401_202402_LR11).csv
105418,20240203,20050,9,24912,A3_STORE_SALE(202401_202402_LR11).csv
105418,20240203,20065,8,22400,A3_STORE_SALE(202401_202402_LR11).csv
105418,20240203,20075,33,89847,A3_STORE_SALE(202401_202402_LR11).csv
105418,20240203,20079,8,22400,A3_STORE_SALE(202401_202402_LR11).csv
105418,20240203,20080,28,77095,A3_STORE_SALE(202401_202402_LR11).csv
105418,20240203,20081,6,16800,A3_STORE_SALE(202401_202402_LR11).csv
105418,20240203,20083,4,11200,A3_STORE_SALE(202401_202402_LR11).csv
105418,20240203,20084,11,30230,A3_STORE_SALE(202401_202402_LR11).csv
105418,20240203,20085,36,100665,A3_STORE_SALE(202401_202402_LR11).csv
105418,20240203,20091,0,0,A3_STORE_SALE(202401_202402_LR11).csv
105419,20240202,20006,65,204669,A3_STORE_SALE(202401_202402_LR11).csv
105419,20240202,20007,15,47704,A3_STORE_SALE(202401_202402_LR11).csv
105419,20240202,20010,47,148267,A3_STORE_SALE(202401_202402_LR11).csv
105419,20240202,20017,25,78512,A3_STORE_SALE(202401_202402_LR11).csv
105419,20240202,20033,6,19200,A3_STORE_SALE(202401_202402_LR11).csv
105419,20240202,20034,46,142847,A3_STORE_SALE(202401_202402_LR11).csv
105419,20240202,20049,1,3200,A3_STORE_SALE(202401_202402_LR11).csv
105419,20240202,20050,17,54400,A3_STORE_SALE(202401_202402_LR11).csv
105419,20240202,20065,22,67616,A3_STORE_SALE(202401_202402_LR11).csv
105419,20240202,20075,35,108531,A3_STORE_SALE(202401_202402_LR11).csv
105419,20240202,20079,11,34540,A3_STORE_SALE(202401_202402_LR11).csv
105419,20240202,20080,40,126140,A3_STORE_SALE(202401_202402_LR11).csv
105419,20240202,20081,15,48000,A3_STORE_SALE(202401_202402_LR11).csv
105419,20240202,20083,2,6400,A3_STORE_SALE(202401_202402_LR11).csv
105419,20240202,20084,18,57277,A3_STORE_SALE(202401_202402_LR11).csv
105419,20240202,20085,47,147440,A3_STORE_SALE(202401_202402_LR11).csv
105419,20240202,20091,1,2282,A3_STORE_SALE(202401_202402_LR11).csv
105419,20240203,20006,47,147730,A3_STORE_SALE(202401_202402_LR11).csv
105419,20240203,20007,20,63330,A3_STORE_SALE(202401_202402_LR11).csv
105419,20240203,20010,39,120544,A3_STORE_SALE(202401_202402_LR11).csv
105419,20240203,20017,20,63874,A3_STORE_SALE(202401_202402_LR11).csv
105419,20240203,20033,7,22080,A3_STORE_SALE(202401_202402_LR11).csv
105419,20240203,20034,44,138756,A3_STORE_SALE(202401_202402_LR11).csv
105419,20240203,20049,1,3200,A3_STORE_SALE(202401_202402_LR11).csv
105419,20240203,20050,18,57276,A3_STORE_SALE(202401_202402_LR11).csv
105419,20240203,20065,14,44500,A3_STORE_SALE(202401_202402_LR11).csv
105419,20240203,20075,37,112883,A3_STORE_SALE(202401_202402_LR11).csv
105419,20240203,20079,14,44800,A3_STORE_SALE(202401_202402_LR11).csv
105419,20240203,20080,37,117239,A3_STORE_SALE(202401_202402_LR11).csv
105419,20240203,20081,12,36768,A3_STORE_SALE(202401_202402_LR11).csv
105419,20240203,20083,2,6400,A3_STORE_SALE(202401_202402_LR11).csv
105419,20240203,20084,20,62436,A3_STORE_SALE(202401_202402_LR11).csv
105419,20240203,20085,51,162900,A3_STORE_SALE(202401_202402_LR11).csv
105492,20240208,20006,6,39909,A3_STORE_SALE(202401_202402_LR11).csv
105492,20240208,20007,5,35000,A3_STORE_SALE(202401_202402_LR11).csv
105492,20240208,20010,2,14000,A3_STORE_SALE(202401_202402_LR11).csv
105492,20240208,20017,2,14000,A3_STORE_SALE(202401_202402_LR11).csv
105492,20240208,20033,2,14000,A3_STORE_SALE(202401_202402_LR11).csv
105492,20240208,20034,12,82578,A3_STORE_SALE(202401_202402_LR11).csv
105492,20240208,20049,0,0,A3_STORE_SALE(202401_202402_LR11).csv
105492,20240208,20050,2,14000,A3_STORE_SALE(202401_202402_LR11).csv
105492,20240208,20065,2,14000,A3_STORE_SALE(202401_202402_LR11).csv
105492,20240208,20075,1,7000,A3_STORE_SALE(202401_202402_LR11).csv
105492,20240208,20079,3,21000,A3_STORE_SALE(202401_202402_LR11).csv
105492,20240208,20080,5,34360,A3_STORE_SALE(202401_202402_LR11).csv
105492,20240208,20081,5,35000,A3_STORE_SALE(202401_202402_LR11).csv
105492,20240208,20083,5,35000,A3_STORE_SALE(202401_202402_LR11).csv
105492,20240208,20084,3,20723,A3_STORE_SALE(202401_202402_LR11).csv
105492,20240208,20085,3,21000,A3_STORE_SALE(202401_202402_LR11).csv
105492,20240208,20091,0,0,A3_STORE_SALE(202401_202402_LR11).csv
105493,20240208,20006,3,5760,A3_STORE_SALE(202401_202402_LR11).csv
105493,20240208,20007,1,2000,A3_STORE_SALE(202401_202402_LR11).csv
105493,20240208,20010,1,2000,A3_STORE_SALE(202401_202402_LR11).csv
105493,20240208,20017,4,8000,A3_STORE_SALE(202401_202402_LR11).csv
105493,20240208,20033,1,2000,A3_STORE_SALE(202401_202402_LR11).csv
105493,20240208,20034,3,6000,A3_STORE_SALE(202401_202402_LR11).csv
105493,20240208,20049,0,0,A3_STORE_SALE(202401_202402_LR11).csv
105493,20240208,20050,2,4000,A3_STORE_SALE(202401_202402_LR11).csv
105493,20240208,20065,5,10000,A3_STORE_SALE(202401_202402_LR11).csv
105493,20240208,20075,0,0,A3_STORE_SALE(202401_202402_LR11).csv
105493,20240208,20079,3,6000,A3_STORE_SALE(202401_202402_LR11).csv
105493,20240208,20080,4,7800,A3_STORE_SALE(202401_202402_LR11).csv
105493,20240208,20081,2,4000,A3_STORE_SALE(202401_202402_LR11).csv
105493,20240208,20083,9,18000,A3_STORE_SALE(202401_202402_LR11).csv
105493,20240208,20084,4,8000,A3_STORE_SALE(202401_202402_LR11).csv
105493,20240208,20085,0,0,A3_STORE_SALE(202401_202402_LR11).csv
105493,20240208,20091,0,0,A3_STORE_SALE(202401_202402_LR11).csv
105494,20240202,20017,0,0,A3_STORE_SALE(202401_202402_LR11).csv
105494,20240202,20033,0,0,A3_STORE_SALE(202401_202402_LR11).csv
105494,20240202,20049,0,0,A3_STORE_SALE(202401_202402_LR11).csv
105494,20240202,20065,0,0,A3_STORE_SALE(202401_202402_LR11).csv
105494,20240202,20081,0,0,A3_STORE_SALE(202401_202402_LR11).csv
105494,20240203,20007,1,6900,A3_STORE_SALE(202401_202402_LR11).csv
105494,20240203,20050,0,0,A3_STORE_SALE(202401_202402_LR11).csv
105494,20240203,20080,0,0,A3_STORE_SALE(202401_202402_LR11).csv
105496,20240202,20017,0,0,A3_STORE_SALE(202401_202402_LR11).csv
105496,20240202,20033,0,0,A3_STORE_SALE(202401_202402_LR11).csv
105496,20240202,20049,0,0,A3_STORE_SALE(202401_202402_LR11).csv
105496,20240202,20065,0,0,A3_STORE_SALE(202401_202402_LR11).csv
105496,20240202,20081,0,0,A3_STORE_SALE(202401_202402_LR11).csv
105496,20240203,20007,1,6900,A3_STORE_SALE(202401_202402_LR11).csv
105496,20240203,20050,0,0,A3_STORE_SALE(202401_202402_LR11).csv
105496,20240203,20080,0,0,A3_STORE_SALE(202401_202402_LR11).csv
105595,20240214,20006,0,0,A3_STORE_SALE(202401_202402_LR11).csv
105595,20240214,20007,0,0,A3_STORE_SALE(202401_202402_LR11).csv
105595,20240214,20010,2,5600,A3_STORE_SALE(202401_202402_LR11).csv
105595,20240214,20017,0,0,A3_STORE_SALE(202401_202402_LR11).csv
105595,20240214,20034,0,0,A3_STORE_SALE(202401_202402_LR11).csv
105595,20240214,20050,0,0,A3_STORE_SALE(202401_202402_LR11).csv
105595,20240214,20065,0,0,A3_STORE_SALE(202401_202402_LR11).csv
105595,20240214,20075,0,0,A3_STORE_SALE(202401_202402_LR11).csv
105595,20240214,20079,0,0,A3_STORE_SALE(202401_202402_LR11).csv
105595,20240214,20080,0,0,A3_STORE_SALE(202401_202402_LR11).csv
105595,20240214,20081,0,0,A3_STORE_SALE(202401_202402_LR11).csv
105595,20240214,20083,0,0,A3_STORE_SALE(202401_202402_LR11).csv
105595,20240214,20084,0,0,A3_STORE_SALE(202401_202402_LR11).csv
105595,20240214,20085,1,2800,A3_STORE_SALE(202401_202402_LR11).csv
105595,20240215,20006,15,42000,A3_STORE_SALE(202401_202402_LR11).csv
105595,20240215,20007,4,11200,A3_STORE_SALE(202401_202402_LR11).csv
105595,20240215,20010,10,28000,A3_STORE_SALE(202401_202402_LR11).csv
105595,20240215,20017,9,24215,A3_STORE_SALE(202401_202402_LR11).csv
105595,20240215,20034,6,16600,A3_STORE_SALE(202401_202402_LR11).csv
105595,20240215,20049,0,0,A3_STORE_SALE(202401_202402_LR11).csv
105595,20240215,20050,4,11200,A3_STORE_SALE(202401_202402_LR11).csv
105595,20240215,20065,1,2800,A3_STORE_SALE(202401_202402_LR11).csv
105595,20240215,20075,7,18772,A3_STORE_SALE(202401_202402_LR11).csv
105595,20240215,20079,5,13700,A3_STORE_SALE(202401_202402_LR11).csv
105595,20240215,20080,7,19600,A3_STORE_SALE(202401_202402_LR11).csv
105595,20240215,20081,1,2260,A3_STORE_SALE(202401_202402_LR11).csv
105595,20240215,20083,2,5600,A3_STORE_SALE(202401_202402_LR11).csv
105595,20240215,20084,1,2800,A3_STORE_SALE(202401_202402_LR11).csv
105595,20240215,20085,7,19100,A3_STORE_SALE(202401_202402_LR11).csv
105595,20240216,20006,52,144261,A3_STORE_SALE(202401_202402_LR11).csv
105595,20240216,20007,38,103682,A3_STORE_SALE(202401_202402_LR11).csv
105595,20240216,20010,44,122736,A3_STORE_SALE(202401_202402_LR11).csv
105595,20240216,20017,29,80144,A3_STORE_SALE(202401_202402_LR11).csv
105595,20240216,20033,12,33600,A3_STORE_SALE(202401_202402_LR11).csv
105595,20240216,20034,44,122569,A3_STORE_SALE(202401_202402_LR11).csv
105595,20240216,20049,1,2800,A3_STORE_SALE(202401_202402_LR11).csv
105595,20240216,20050,28,77584,A3_STORE_SALE(202401_202402_LR11).csv
105595,20240216,20065,19,51522,A3_STORE_SALE(202401_202402_LR11).csv
105595,20240216,20075,51,138877,A3_STORE_SALE(202401_202402_LR11).csv
105595,20240216,20079,21,58032,A3_STORE_SALE(202401_202402_LR11).csv
105595,20240216,20080,30,83330,A3_STORE_SALE(202401_202402_LR11).csv
105595,20240216,20081,34,92283,A3_STORE_SALE(202401_202402_LR11).csv
105595,20240216,20083,20,54887,A3_STORE_SALE(202401_202402_LR11).csv
105595,20240216,20084,19,53200,A3_STORE_SALE(202401_202402_LR11).csv
105595,20240216,20085,38,104352,A3_STORE_SALE(202401_202402_LR11).csv
105596,20240214,20006,0,0,A3_STORE_SALE(202401_202402_LR11).csv
105596,20240214,20007,0,0,A3_STORE_SALE(202401_202402_LR11).csv
105596,20240214,20010,0,0,A3_STORE_SALE(202401_202402_LR11).csv
105596,20240214,20017,0,0,A3_STORE_SALE(202401_202402_LR11).csv
105596,20240214,20034,0,0,A3_STORE_SALE(202401_202402_LR11).csv
105596,20240214,20050,0,0,A3_STORE_SALE(202401_202402_LR11).csv
105596,20240214,20065,1,1600,A3_STORE_SALE(202401_202402_LR11).csv
105596,20240214,20075,0,0,A3_STORE_SALE(202401_202402_LR11).csv
105596,20240214,20079,0,0,A3_STORE_SALE(202401_202402_LR11).csv
105596,20240214,20080,0,0,A3_STORE_SALE(202401_202402_LR11).csv
105596,20240214,20081,0,0,A3_STORE_SALE(202401_202402_LR11).csv
105596,20240214,20084,0,0,A3_STORE_SALE(202401_202402_LR11).csv
105596,20240214,20085,0,0,A3_STORE_SALE(202401_202402_LR11).csv
105596,20240215,20006,10,16000,A3_STORE_SALE(202401_202402_LR11).csv
105596,20240215,20007,4,6215,A3_STORE_SALE(202401_202402_LR11).csv
105596,20240215,20010,9,13950,A3_STORE_SALE(202401_202402_LR11).csv
105596,20240215,20017,1,1600,A3_STORE_SALE(202401_202402_LR11).csv
105596,20240215,20034,11,17182,A3_STORE_SALE(202401_202402_LR11).csv
105596,20240215,20050,6,9600,A3_STORE_SALE(202401_202402_LR11).csv
105596,20240215,20065,3,4800,A3_STORE_SALE(202401_202402_LR11).csv
105596,20240215,20075,6,8881,A3_STORE_SALE(202401_202402_LR11).csv
105596,20240215,20079,6,9600,A3_STORE_SALE(202401_202402_LR11).csv
105596,20240215,20080,8,12625,A3_STORE_SALE(202401_202402_LR11).csv
105596,20240215,20081,1,1600,A3_STORE_SALE(202401_202402_LR11).csv
105596,20240215,20083,0,0,A3_STORE_SALE(202401_202402_LR11).csv
105596,20240215,20084,3,4646,A3_STORE_SALE(202401_202402_LR11).csv
105596,20240215,20085,5,8000,A3_STORE_SALE(202401_202402_LR11).csv
105596,20240215,20091,0,0,A3_STORE_SALE(202401_202402_LR11).csv
105596,20240216,20006,40,64000,A3_STORE_SALE(202401_202402_LR11).csv
105596,20240216,20007,36,56526,A3_STORE_SALE(202401_202402_LR11).csv
105596,20240216,20010,25,39420,A3_STORE_SALE(202401_202402_LR11).csv
105596,20240216,20017,16,24718,A3_STORE_SALE(202401_202402_LR11).csv
105596,20240216,20033,5,7792,A3_STORE_SALE(202401_202402_LR11).csv
105596,20240216,20034,32,50768,A3_STORE_SALE(202401_202402_LR11).csv
105596,20240216,20049,0,0,A3_STORE_SALE(202401_202402_LR11).csv
105596,20240216,20050,15,23835,A3_STORE_SALE(202401_202402_LR11).csv
105596,20240216,20065,16,24857,A3_STORE_SALE(202401_202402_LR11).csv
105596,20240216,20075,25,38628,A3_STORE_SALE(202401_202402_LR11).csv
105596,20240216,20079,17,27200,A3_STORE_SALE(202401_202402_LR11).csv
105596,20240216,20080,25,39311,A3_STORE_SALE(202401_202402_LR11).csv
105596,20240216,20081,23,36350,A3_STORE_SALE(202401_202402_LR11).csv
105596,20240216,20083,6,9600,A3_STORE_SALE(202401_202402_LR11).csv
105596,20240216,20084,11,17600,A3_STORE_SALE(202401_202402_LR11).csv
105596,20240216,20085,30,47765,A3_STORE_SALE(202401_202402_LR11).csv
105597,20240214,20006,0,0,A3_STORE_SALE(202401_202402_LR11).csv
105597,20240214,20007,0,0,A3_STORE_SALE(202401_202402_LR11).csv
105597,20240214,20010,0,0,A3_STORE_SALE(202401_202402_LR11).csv
105597,20240214,20017,0,0,A3_STORE_SALE(202401_202402_LR11).csv
105597,20240214,20034,0,0,A3_STORE_SALE(202401_202402_LR11).csv
105597,20240214,20050,0,0,A3_STORE_SALE(202401_202402_LR11).csv
105597,20240214,20065,0,0,A3_STORE_SALE(202401_202402_LR11).csv
105597,20240214,20075,0,0,A3_STORE_SALE(202401_202402_LR11).csv
105597,20240214,20079,0,0,A3_STORE_SALE(202401_202402_LR11).csv
105597,20240214,20080,0,0,A3_STORE_SALE(202401_202402_LR11).csv
105597,20240214,20081,0,0,A3_STORE_SALE(202401_202402_LR11).csv
105597,20240214,20083,0,0,A3_STORE_SALE(202401_202402_LR11).csv
105597,20240214,20085,0,0,A3_STORE_SALE(202401_202402_LR11).csv
105597,20240215,20006,9,8900,A3_STORE_SALE(202401_202402_LR11).csv
105597,20240215,20007,10,10000,A3_STORE_SALE(202401_202402_LR11).csv
105597,20240215,20010,18,18000,A3_STORE_SALE(202401_202402_LR11).csv
105597,20240215,20017,9,9000,A3_STORE_SALE(202401_202402_LR11).csv
105597,20240215,20033,1,1000,A3_STORE_SALE(202401_202402_LR11).csv
105597,20240215,20034,9,8800,A3_STORE_SALE(202401_202402_LR11).csv
105597,20240215,20049,0,0,A3_STORE_SALE(202401_202402_LR11).csv
105597,20240215,20050,0,0,A3_STORE_SALE(202401_202402_LR11).csv
105597,20240215,20065,0,0,A3_STORE_SALE(202401_202402_LR11).csv
105597,20240215,20075,10,9901,A3_STORE_SALE(202401_202402_LR11).csv
105597,20240215,20079,10,9690,A3_STORE_SALE(202401_202402_LR11).csv
105597,20240215,20080,13,13000,A3_STORE_SALE(202401_202402_LR11).csv
105597,20240215,20081,8,8000,A3_STORE_SALE(202401_202402_LR11).csv
105597,20240215,20083,1,1000,A3_STORE_SALE(202401_202402_LR11).csv
105597,20240215,20084,1,950,A3_STORE_SALE(202401_202402_LR11).csv
105597,20240215,20085,1,1000,A3_STORE_SALE(202401_202402_LR11).csv
105597,20240215,20091,0,0,A3_STORE_SALE(202401_202402_LR11).csv
105597,20240216,20006,53,51530,A3_STORE_SALE(202401_202402_LR11).csv
105597,20240216,20007,42,41172,A3_STORE_SALE(202401_202402_LR11).csv
105597,20240216,20010,41,40333,A3_STORE_SALE(202401_202402_LR11).csv
105597,20240216,20017,22,22000,A3_STORE_SALE(202401_202402_LR11).csv
105597,20240216,20033,2,2000,A3_STORE_SALE(202401_202402_LR11).csv
105597,20240216,20034,47,46841,A3_STORE_SALE(202401_202402_LR11).csv
105597,20240216,20049,0,0,A3_STORE_SALE(202401_202402_LR11).csv
105597,20240216,20050,23,23000,A3_STORE_SALE(202401_202402_LR11).csv
105597,20240216,20065,24,23805,A3_STORE_SALE(202401_202402_LR11).csv
105597,20240216,20075,22,21737,A3_STORE_SALE(202401_202402_LR11).csv
105597,20240216,20079,23,22902,A3_STORE_SALE(202401_202402_LR11).csv
105597,20240216,20080,38,37912,A3_STORE_SALE(202401_202402_LR11).csv
105597,20240216,20081,42,41443,A3_STORE_SALE(202401_202402_LR11).csv
105597,20240216,20083,10,9900,A3_STORE_SALE(202401_202402_LR11).csv
105597,20240216,20084,23,22816,A3_STORE_SALE(202401_202402_LR11).csv
105597,20240216,20085,41,41000,A3_STORE_SALE(202401_202402_LR11).csv
105598,20240214,20006,0,0,A3_STORE_SALE(202401_202402_LR11).csv
105598,20240214,20007,0,0,A3_STORE_SALE(202401_202402_LR11).csv
105598,20240214,20010,0,0,A3_STORE_SALE(202401_202402_LR11).csv
105598,20240214,20017,0,0,A3_STORE_SALE(202401_202402_LR11).csv
105598,20240214,20034,0,0,A3_STORE_SALE(202401_202402_LR11).csv
105598,20240214,20050,0,0,A3_STORE_SALE(202401_202402_LR11).csv
105598,20240214,20065,0,0,A3_STORE_SALE(202401_202402_LR11).csv
105598,20240214,20075,0,0,A3_STORE_SALE(202401_202402_LR11).csv
105598,20240214,20079,0,0,A3_STORE_SALE(202401_202402_LR11).csv
105598,20240214,20080,0,0,A3_STORE_SALE(202401_202402_LR11).csv
105598,20240214,20081,0,0,A3_STORE_SALE(202401_202402_LR11).csv
105598,20240214,20085,0,0,A3_STORE_SALE(202401_202402_LR11).csv
105598,20240215,20006,3,18000,A3_STORE_SALE(202401_202402_LR11).csv
105598,20240215,20007,0,0,A3_STORE_SALE(202401_202402_LR11).csv
105598,20240215,20010,2,12000,A3_STORE_SALE(202401_202402_LR11).csv
105598,20240215,20017,0,0,A3_STORE_SALE(202401_202402_LR11).csv
105598,20240215,20034,0,0,A3_STORE_SALE(202401_202402_LR11).csv
105598,20240215,20050,0,0,A3_STORE_SALE(202401_202402_LR11).csv
105598,20240215,20065,1,6000,A3_STORE_SALE(202401_202402_LR11).csv
105598,20240215,20075,0,0,A3_STORE_SALE(202401_202402_LR11).csv
105598,20240215,20079,4,23790,A3_STORE_SALE(202401_202402_LR11).csv
105598,20240215,20080,1,6000,A3_STORE_SALE(202401_202402_LR11).csv
105598,20240215,20081,0,0,A3_STORE_SALE(202401_202402_LR11).csv
105598,20240215,20083,0,0,A3_STORE_SALE(202401_202402_LR11).csv
105598,20240215,20084,0,0,A3_STORE_SALE(202401_202402_LR11).csv
105598,20240215,20085,0,0,A3_STORE_SALE(202401_202402_LR11).csv
105598,20240216,20006,8,48000,A3_STORE_SALE(202401_202402_LR11).csv
105598,20240216,20007,3,18000,A3_STORE_SALE(202401_202402_LR11).csv
105598,20240216,20010,7,42000,A3_STORE_SALE(202401_202402_LR11).csv
105598,20240216,20017,2,12000,A3_STORE_SALE(202401_202402_LR11).csv
105598,20240216,20033,0,0,A3_STORE_SALE(202401_202402_LR11).csv
105598,20240216,20034,8,47406,A3_STORE_SALE(202401_202402_LR11).csv
105598,20240216,20049,0,0,A3_STORE_SALE(202401_202402_LR11).csv
105598,20240216,20050,5,30000,A3_STORE_SALE(202401_202402_LR11).csv
105598,20240216,20065,3,18000,A3_STORE_SALE(202401_202402_LR11).csv
105598,20240216,20075,7,42000,A3_STORE_SALE(202401_202402_LR11).csv
105598,20240216,20079,5,29440,A3_STORE_SALE(202401_202402_LR11).csv
105598,20240216,20080,5,28272,A3_STORE_SALE(202401_202402_LR11).csv
105598,20240216,20081,4,24000,A3_STORE_SALE(202401_202402_LR11).csv
105598,20240216,20083,0,0,A3_STORE_SALE(202401_202402_LR11).csv
105598,20240216,20084,6,36000,A3_STORE_SALE(202401_202402_LR11).csv
